image,name,CODE,type,brand,category,unit_code,cost,price,product_details
,ผ้าโซฟา สีส้ม,0-CP-148-10ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีส้ม
,ผ้าโซฟา สีส้ม,0-CP-148-11ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีส้ม
,ผ้าโซฟาสีน้ำตาล,0-CP-148-12Zไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟาสีน้ำตาล
,ผ้าโซฟาสีน้ำตาลเข้ม,0-CP-148-15ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟาสีน้ำตาลเข้ม
,ผ้าโซฟา สีเทา,0-CP-148-16ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา สีเทา,0-CP-148-16Z ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา สีแดง,0-CP-148-17ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีชมพู,0-CP-148-18ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีชมพู
,ผ้าโซฟา สีฟ้า,0-CP-148-19ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีฟ้า
,ผ้าโซฟา สีครีม,0-CP-148-1ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีครีม
,ผ้าโซฟา สีน้ำเงิน,0-CP-148-20ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำเงิน
,ผ้าโซฟา สีกรม,0-CP-148-21ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีกรม
,ผ้าโซฟา,0-CP-148-22,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีดำ,0-CP-148-23,standard,,CP,pc,1,1,ผ้าโซฟา สีดำ
,ผ้าโซฟา สีน้ำตาลเข้ม,0-CP-148-24,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาลเข้ม
,ผ้าโซฟา สีครีมเข้ม,0-CP-148-2ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีครีมเข้ม
,ผ้าโซฟา สีครีม,0-CP-148-3,standard,,CP,pc,1,1,ผ้าโซฟา สีครีม
,ผ้าโซฟา สีเทา,0-CP-148-4,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา สีน้ำตาล,0-CP-148-5,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีน้ำตาล,0-CP-148-5Z,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีเขียว,0-CP-148-6,standard,,CP,pc,1,1,ผ้าโซฟา สีเขียว
,ผ้าโซฟา สีม่วงอ่อน,0-CP-148-7,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วงอ่อน
